ID;AUTHOR;Score;IsRecomended;Summary;Advantages;Disadvantages;LikesCount;DislikesCount;CreateDate;
6418263;Marylka;5/5;true;Zacznijmy od sprawy podstawowej. Samsung Galaxy S8 to chyba najlepszy smartfon obecnej generacji. Nie jest to oczywiście telefon pozbawiony wad. Ale oferuje najwięcej, jest niezawodny i wprost urzeka swoim pięknem. Mogę go śmiało polecić. Wnętrze Galaxy S8 jest flagowcem Samsunga, a z tym wiążą się pewne oczekiwania. Mogę jednak zaręczyć, że moje zostały spełnione w 200%. Telefon jest szybki. Diablo szybki. Nawet przy kilkunastu działających w tle (i zasobożernych) aplikacjach nic nie chrupie, a telefon działa tak, jakby 5 minut temu został wyjęty z pudełka. Nie wiem czy to zasługa optymalizacji systemu operacyjnego czy po prostu obłędnie szybkich podzespołów, ale naprawdę nie ma tu na co narzekać. Ośmiordzeniowy procesor, nowoczesny układ graficzny i 4GB RAM-u spokojnie wystarczają nie tylko do codziennego użytkowania, ale nawet do dość intensywnej pracy i grania. SGS8 daje nam też do dyspozycji 64GB pamięci wewnętrznej. Dodatkowo telefon nadal ma możliwość rozszerzenia o kartę microSD. Z tego ostatniego faktu jestem naprawdę bardzo zadowolona. Niestety większość smartfonów odchodzi od tego rozwiązania. A dla mnie dużo pamięci wewnętrznej naprawdę ma znaczenie. Lubię przechowywać na telefonie wszystkie posiadane audiobooki. O zdjęciach i filmach z moim kotem nawet nie wspominam. Minusem telefonu jest niestety głośnik. Umieszczony na dole i raczej słaby. W tym wypadku był to konieczny kompromis. Telefon jest odporny na wodę i kurz. Wszystkie smartfony, które posiadają tę funkcję mają raczej słabe i małe głośniki. Myślę, że w erze maleńkich przenośnych głośników bluetooth nie jest to duży problem. No ale trzeba tę wadę odnotować. Wyświetlacz i ergonomia Ekran Super AMOLED w Samsungu Galaxy S8 to – moim zdaniem – najlepszy wyświetlacz dostępny obecnie na rynku, bijący iphone’ową (i nie tylko) konkurencję na głowę. I chyba nie jest to tylko moje subiektywne odczucie, bo gołe liczby, pokazujące np. gęstość pikseli albo odwzorowanie barw, wydają się tę tezę potwierdzać. Ekran urzeka swoim pięknem, ale jest też bardzo funkcjonalny. Jest na tyle jasny, że można na nim śmiało pracować nawet przy mocnym świetle (po prawdzie nie miałam okazji sprawdzić go w środku lata i w samo południe, ale sądzę, że dałby sobie radę). Poza tym przez swoje rozmiary dostarcza znacznie więcej przestrzeni na przeglądanie stron internetowych, mediów społecznościowych, itd… Nie jest to może ten sam komfort jaki dają tablety albo phablety w rodzaju Galaxy Note’a, ale smartfonowa konkurencja pozostaje daleko w tyle. Ekran Galaxy S8 ma nieco inne wymiary niż w poprzednich modelach. Wyświetlacz zachował szerokość modeli S7 i S6 (1440 pikseli), ale jest znacznie wyższy (2960 pikseli). Zmiana wymiarów wyświetlacza ma pewną negatywną konsekwencję. Musimy się nastawić na to, że niektóre starsze aplikacje nie będą obsługiwać rozdzielczości telefonu, w związku z czym obraz będzie otoczony na dole i na górze wąskimi czarnymi paskami. Podobnie będzie z większością filmów wideo, jakie przyjdzie nam oglądać na smartfonie. Jest to jednak bardzo mała cena, w zamian dostajemy bowiem więcej powierzchni ekranu, przy jednocześnie bardzo dobrej ergonomii. Wydłużenie wyświetlacza wraz z zaokrągleniem ekranu bardzo pozytywnie wpłynęło na komfort użytkowania telefonu. SGS8 po prostu świetnie leży w ręce. Mimo, że mam dłonie raczej niewielkie bez problemu obsługuję go jedną ręką i jestem w stanie dosięgnąć prawym kciukiem lewej części ekranu. Gorzej jest z dosięgnięciem czytnika linii papilarnych. Czytnik został przeniesiony na drugą stronę telefonu, tuż obok aparatu. A jako że telefon jest wysoki, nie zawsze jestem w stanie dosięgnąć czytnika palcem wskazującym. Na szczęście Samsung dał nam do wyboru jeszcze dwa inne sposoby na biometryczne odblokowanie smartfona. Możemy zatem skorzystać z czytnika siatkówki albo wykrywania twarzy. Ze względu na wygodę wybrałam rozwiązanie drugie, które okazało się być niezawodne, bez względu na to pod jakim kątem trzymam telefon i czy mam na sobie makijaż. Bateria i ładowanie Powiększenie ekranu ma oczywiście swoją cenę. Jest nią zużycie baterii. Chciałabym zaznaczyć, że nie jest pod tym względem tragicznie – jeszcze nigdy nie musiałam ładować telefonu w ciągu dnia, a korzystam z niego dość intensywnie. Ale nie jest też idealnie – codzienne ładowanie jest koniecznością. Na szczęście choć pojemność baterii (relatywnie do zużycia energii przez telefon) nie imponuje, to bardzo dobre wrażenie robi szybkość jej ładowania. Telefon obsługuje ładowanie indukcyjne (nie sprawdzałam) i tzw. „ładowanie szybkie”. I rzeczywiście nie jest to tylko chwyt marketingowy. Załadowanie baterii o pojemności 3000 mAh od 10% do 100% trwa ok. 50 minut. Po raz pierwszy w życiu poczułam, że podłączenie telefonu do ładowarki na 5 minut ma sens, bo zapewnia nawet godzinę pracy pod sporym obciążeniem. Aparat SGS8 wyposażony jest (jak znakomita większość smartfonów) w dwa aparaty. Główny ma rozdzielczość 12 megapikseli. Podaję tę informację tak dla porządku, ale zaraz potem muszę stwierdzić, że nie ma to chyba większego znaczenia. Widziałam zdjęcia robione na aparatach o większej rozdzielczości i mogę śmiało powiedzieć, że wyglądały dużo gorzej. Aparat w Samsungu Galaxy S8 jest fenomenalny. Dowodzi to tylko, że obecnie kolejne megapiksele nie mają większego znaczenia, a liczy się raczej charakterystyka sensorów, obiektywu, itd… Pod tym względem jest naprawdę dobrze, SGS8 ma jeden z lepszych aparatów dostępnych w smartfonie. Telefon ma jeszcze jeden aparat – przedni. A więc używany do robienia selfie. Jako że selfie robię bardzo rzadko, nie mogę na ten temat zbyt wiele powiedzieć. Ot, aparat jest, działa, zdjęcia mają sensowną rozdzielczość (8 megapikseli) i wyglądają ładnie. Ale w kontekście aparatów warto wspomnieć o jeszcze jednej ciekawej funkcji. Otóż aparat jest połączony z nowym asystentem Samsunga – Bixby. O samym asystencie napiszę niżej, chciałam tylko zaznaczyć, że Bixby potrafi rozpoznawać produkty znajdujące się na zdjęciach. Jest to pomocne podczas zakupów, jeśli chcemy na szybko sprawdzić, czy towar znajdujący się na półce sklepowej można dostać gdzieś taniej. Niby drobiazg, ale użyteczny. I jeszcze jedna ciekawostka, którą zauważyłam po tym, jak kilkukrotnie nie trafiłam w czujnik linii papilarnych z tyłu telefonu. Otóż szybka na obiektywie aparatu jest odporna na smugi i paluchowanie. Nie wiem jak tego dokonano, ale chciałabym, żeby cały telefon był pokryty takim szkiełkiem. Bixby Samsung bardzo mocno promuje swojego elektronicznego asystenta. Niestety nie jest on jeszcze dostępny w języku polskim. Trudno, dałoby się to jakoś przeżyć... gdyby nie fakt, że telefon posiada osobny przycisk do uruchamiania asystenta. Może to moja niezgrabność, ale raz dziennie niechcący włączam Bixby'ego. I niepotrzebnie się z tego powodu irytuję. Myślę, że Samsung mógł nam tego oszczędzić. Akcesoria Ostatnią rzeczą o której chciałabym wspomnieć są genialne akcesoria. Nie miałam jeszcze okazji wypróbować DEX-a (stacji dokującej zamieniającej telefon w desktopa), za to dostałam niedawno oficjalną okładkę do SGS8 – Clear View. I nie mogę wyjść z zachwytu. Od lat zadziwia mnie, że ludzie pakują ładnie wyglądające smartfony w paskudne okładki ochronne i etui, które psują cały urok telefonu. Samsung poszedł po rozum do głowy i zaoferował coś, co łączy funkcjonalność z estetyką. Clear View przepuszcza światło z wyświetlacza, a przy tym jest minimalistyczna i wykonana z dobrych materiałów. Idealnie pasuje do tego pięknego telefonu. Podsumowanie Czy warto kupić Samsunga Galaxy S8? Tak. Czy po trzech miesiącach jestem zadowolona z telefonu? Tak. Czy telefon ma wady? Tak. Czy kiedykolwiek miałam lepszy telefon? Nie. Czy SGS8 jest za drogi? Wolałabym, żeby był za darmo, ale nie. Za jakość trzeba zapłacić. Poniższe zdjęcie przedstawia telefon Samsung Galaxy S8 w okładce Clear View (odsłoniętej) wraz z kotem. Okładka Clear View i kot są sprzedawane oddzielnie.;4gb ram dobry aparat duży ekran ekran ergonomia szybkie ładowanie szybkość świetne akcesoria wodoodporny ;bixby - brak języka polskiego czytnik linii papilarnych jest za wysoko słaby głośnik źle umiejscowiony skaner odcisków palców ;2;0;2017-12-31 23:02:51;
4535912;W...d;5/5;true;Super ekran Amoled, 4GB ramu, szybkie ładowanie, wydajność i przede wszystkim wodoszczelność! Nic dodać nic ująć.;funkcjonalność ;;11;23;2017-03-31 10:00:51;
4685510;venom;4/5;true;Telefon po 3 dniach sprzedałem gdyż okazał się trochę za duży. Ogólnie S8 to solidny produkt z szeregiem zarówno zalet jak i wad. Najważniejsze zalety: - design - aparat przód i tył - wyświetlacz (zarówno jakość jak i barwy) - ergonomiczny kształt - płynność działania systemu (przynajmniej po wyjęciu z pudełka) - czas pracy na baterii lepszy niż oczekiwałem - sprawnie działający czytnik odcisków palca... Wady w moim odczuciu: - ... ale umiejscowiony w nieodpowiednim miejscu - cena 3500 jest przesadzona, dlatego kupiłem go znacznie taniej - śliski tył obudowy dodatkowo podatna na zarysowania - przycisk bixby którego nie da się zbindować - głośniczek podczas odtwarzania dźwięków powoduje że cały telefon się "trzęsie" - brak diody IR Telefon oceniam 4/5, ponieważ jest kilka mankamentów które mi nie odpowiadają, oczywiście każdy może to postrzegać inaczej. Na pewno nie jest to produkt warty wydania 3500zł bo taka cena jest sugerowaną przez producenta i nie dajcie się zmylić marketingiem w S8 nie ma NIC rewolucyjnego, zaokrąglone krawędzie były już wcześniej, a że wąskie ramki to ciekawy zabieg ale nic więcej.;jakość wyświetlacza, ergonomiczny, design ;cena, śliski tył obudowy, 4gb ram, brak diody ir, szkło podatne na zarysowania, głośniczek ;11;7;2017-05-22 10:38:01;
4935305;Obserwator;3/5;null;MARZĘ O TELEFONIE NA BATERIE PALUSZKI AAA!!! Jest tyle świetnych akumulatorków klasy AAA na rynku. Wyobraźcie sobie brak konieczności czekania na ładowanie- wyciągasz paluszki i wymieniasz na naładowane ze ściennej ładowarki. Albo zabierasz zapasowe ze sobą bez stresu, że ci komórka siądzie. W razie czego zamiast aku wsadzasz zwykłą baterię kupioną w byle kiosku. Podobnie jak rzesza innych użytkowników nie rozumiem dlaczego jeszcze żaden producent nie wyszedł naprzeciw naszym oczekiwaniom mimo, że grubość AAA spokojnie na to pozwala. Przecież to byłby bestseller. MOŻE SMARTFONIARZE RUSZĄ JAKĄŚ INICJATYWĘ NA FEJSIE? Wracając do S8- żałuję przesiadki z S7. Zwabił mnie ładny, zakrzywiony ekran i jego wielkość. Jest to jednak delikatna zabawka i trzeba się z telefonem obchodzić o wiele ostrożniej niż z S7 którą bez problemu mogłem opakować w pancerny case chroniący brzegi ekranu, nakleić diamond glassa. I nie przejmować się niczym przesadnio.;4gb ram głośniczek latwosc obslugi wygląd ;;9;11;2017-08-11 09:30:10;
6296861;Beata;5/5;true;Po wcześniejszym samsungu galaxy s5, nadszedł czas na wymianę. Kupiłam właśnie ten telefon, jako że jego poprzednik do tej pory sprawuje się doskonale, ale szukałam czegoś nowszego. Ekran - nie dzieje się tak jak we wcześniejszym, że pod wpływem wody przestaje działać dotyk, jednak każdy paproszek widać od razu przez 'rozpikselowanie' Czytnik palca w niewygodnym miejscu Działa bardzo szybko i płynnie Bixby - porażka, nie ma polskiego języka, a i angielki rozumie gorzej niż zwykły, stary zestaw głośnomówiący, nie rozróżnia polskich imion, nie można wybrać głosowo połączenia do kogoś. Szybkie ładowanie przy oryginalnej ładowarce - samochodową, nie do samsunga ledwo co 4% przez pół godziny jazdy - ale wyskoczył monit żeby użyć oryginalnej ładowarki O miejscu na kartę pamięci i sim nawet nie ma co wspominać, straszny minus, wiotka ramka, dodatkowy 'dynks' do wyjmowania jej - nie zmienisz karty na wakacjach, najlepiej kup największą na jaką Cię stać.;4gb ram aparat przód aparat tył czas pracy na baterii dobry aparat duży ekran funkcjonalność głośniczek latwosc obslugi poręczny świetny interfejs wygląd źle umiejscowiony skaner odcisków palców ;bixby - brak języka polskiego, bixby - nie rozróżnia polskich imion ;1;0;2017-12-06 03:05:55;
5833721;DawShaMir;4/5;true;Piękny ogromny wyświetlacz, który znajduje się na froncie urządzenia. Piękny design, można się na niego patrzeć bezprzerwy. Praktycznie bezramkowy. Szkło na przodzie praktycznie się nie rysuje, natomiast z tyłu to dramat rysuje się bardzo mocno. Cudowny aparat i z przodu i z tyłu. Szybkie ładowanie, które bardzo się przydaje gdyż bateria w tym urządzeniu jest na średnim poziomie. Do tego sgs8 może być ładowany bezprzewodowo oraz działać jako mały komputer! 4 gb ramu to zdecydowanie za mało patrząc na note'a8 sgs8/s8+ radzi sobie bardzo średnio. Bixby jest przydatne, ale bez polskiego języka jest bezsensowne. Umiejscowienie czytnika linii papilarnych to największy błąd dość ciężko się do niego dostać, jest to spowodowane designem który powoduje, że smartfon zyskuje w moich oczach. Urządzenie jest dość szybkie ale jednak tego ramu właśnie trochę brakuje. Nowa nakładka producenta jest świetna odchudzona, piękna i powoduje że smartfon jest faktycznie klasy premium. Głośnik mono to za mało, jest zbyt cichy i łatwo go zakryć, ale za to słuchawki dołączone do zestawu grają świetnie. Trzeba podkreślić że samsung nie pozbył się mini-jacka. USB typu c jest bardzo dobrym rozwiązaniem. Wykonanie na wysokim poziomie upewnia mnie,że urządzenie jest wodoodporne i pyłoodporne. Zakrzywiony ekran to coś co ma tylko samsung i to jest dobre, coś oryginalnego i bardzo przydatnego. Samsung galaxy s8 jest według mnie na rynku jednym z najlepszych smartfonów, mimo kilku wad uważam że warto go kupić.;menu boczne na zakrzywionym ekranie ;4gb ram brak diody ir czas pracy na baterii głośniczek źle umiejscowiony skaner odcisków palców ;1;0;2017-11-16 12:16:45;
5037349;Piotr;3,5/5;null;Jestem roczarowany ergonomią Galaxy S8. Niektóre rozwiązania irytują na codzień, a jakoś recenzje niewiele o tym mówią. Przycisk na lewym boku jest tam gdzie spoczywa nasz kciuk i drażni, a czasami uruchamia niepotrzebnie funkcję Bixby. Skaner odcisków palca to totalna porażka - jest przy samym aparacie i albo brudzimy obiektyw albo nie można w niego trafić. Sterowanie pod ekranem z S7 teraz jest na ekranie i trzeba je często "wyciągać" Większość filmów ma format 16:9 a więc i tak pozostają czarne pasy po obu stronach ekranu. Poza tym to bardzo efektowny i sprawny smartfon z dobrym aparatem i świetnym ekranem, tylko ergonomicznie krok wstecz. Potrafi irytować, a kosztuje blisko 3,5 tysiąca zł.;4gb ram aparat tył czas pracy na baterii wygląd ;skaner odcisków palca ;1;0;2017-09-14 09:29:17;
6417697;Kamil;4,5/5;true;Wygląd + co znajdziemy w opakowaniu : Piękny,kiedy odblokowuje telefon sam rozmiar wyświetlacza robi robotę co dopiero sama konstrukcja . Przód pozbawiony fizycznych przycisków , natomiast jest przycisk pod ekranem (rodem 3D touch z Iphone'ów) co też jest ciekawym dodatkiem . Patrząc na tył urządzenia widzimy aparat (nareszcie w ogólnie niewystający ) i tafle szkła , która oczywiście bardzo się palcuje (etui wymagane (zawsze dodatkowa ochrona)) . Telefon z tyłu i z przodu pokryty jest szkłem bo bokach metalowe ramki , metalowe przyciski . na gorze telefonu znajduje się mikrofon , a na dole głośnik , złącze USB-C do ładowanie oraz z możliwością podłączenia innych urządzeń (przejściówki są w opakowaniu ) , oraz "jeszcze" mini-jack na słuchawki , które otrzymujemy z logiem firmy AKG . Są to słuchawki z dobrym brzmieniem lekkim bassem , jedynym problem jaki z nimi mam to długa końcówka jack która podczas trzymania telefonu w kieszeni się lekko wygina i może spowodować uszkodzenie słuchawek Wygoda użytkowania : Dla mnie ten telefon jest bardzo dobrych rozmiarów nie za duży (jak np Note 8 ) i nie za mały .Jeżeli ktoś ma duże ręce jak ja będzie w niebo wzięty . Telefon można obsługiwać jedną ręką , ale może pojawić się mała przeszkoda - śliski tył . Powoduje wypadanie telefonu (2 razy mi spadł na podłogę ale nic się nie stało ). Bixby: Fajnie , że jest działa naprawdę dobrze. ma dużo ciekawych funkcji jak np: odblokowywanie telefonu za pomocą hasła głosowego czy nawet sterownie całym telefonu bez użycia rąk , no ale jest w języka angielskim ( osobiście mi to nie przeszkadza ale chciałbym zobaczyć jak Bixby mówi po Polsku i móc mówić o osobach o Polskim nazwisku miejscach i innych ) . Przycisk Bixby czasami się myśli z przyciskami zmiany głośności , ale ten przycisk można zmienić do robienia czegoś innego lub całkowicie go wyłączyć () Głośnik : No i tu jest słabo . Pojedynczy głośnik umiejscowiony na dole gra głośno ale widziałem lepsze . Czekam , aż Samsung postanowi wprowadzić tryb stereo , który można już zrobić (forum xda pomaga )() Aparat : Tylny : Jeden aparat 12 Mpix F1.7 jest bardzo dobry . Nie jest idealny jak np : w Samsungu Galaxy Note 8 , ale w niczym mu nie ustępuje . Zdjęcia są ostre , kolory są nasycone a przyjemność z robienia zdjęć jest jeszcze lepsza . Optyczny Autofocus - najszybszy na rynku robi także dużą robotę . Przedni :Zdjęcia selfie wychodzą naprawdę dobrze co prawdo są troszeczkę mniej naturalne ze względu na wygładzanie cery natomiast w niczym mi to nie przeszkadza (dodam ze wszystko można zmienić w aplikacji aparatu ) Większość zdjęć używając tego aparatu robię na Snapchacie i tam aparat ten pokazuje swój pazur (filtry wyglądają mega ) Aplikacja Aparatu: Aplikacja bardzo dobrze zorganizowana wszystko jest na swoim miejscu , są fajne dodatkowe filtry + można więcej ściągnąć z Samsung Apps . Co prawda funkcji jest w niej naprawdę dużo ale lepszą aplikacje używałem w telefonach LG - tam tryb profesjonalny jest naprawdę profesjonalny . Wideo : Filmy kręcony aparatem są niezłe nie zawodzi tu stabilizacja obrazu jednakże ubolewam , że niema 4k w 60 kl/s (Zero Camera Mod może to zmienić , ale KnoX)() Bateria : I to jest czuły punkt tego telefonu . Można by rzec że czas około +- 4,5 h w porywach do 6 (oczywiście mówiąc o używaniu tego telefonu przez praktycznie cały czas ) nie jest dobrym wynikiem . Wiemy co prawda że w trybie czuwania ten telefon spokojnie może przeżyć 1 dzień ale chyba nikt nie używa telefonu tylko żeby sprawdzić godzinę . Dlatego też polecam zakup Power Banka ( używam tego od Samsung dokładnie (Samsung 10200mAh Czarny (EB-PG935BBEGWW)) i mogę wtedy normalnie używać telefonu bez obawy na mały procent baterii System : Android 7.0 jest naprawdę bardzo dobrze zbudowanym systemem . Zdarzają się sporadyczne przycięcia animacji (szczególnie podczas ładowania ) , ale nie przeszkadza to w działaniu telefonu . Nie doświadczyłem jeszcze żadnego przycięcia telefonu i mam nadziej ze będzie tak przez długi czas . Android 8.0 Beta - Czy zmieniło się tu dużo . Patrząc ogólnie na np zmiany kosmetyczne to tego nie widać . Natomiast uświadczyłem naprawę poprawienia wydajności systemu . Zero przycięć lagów nic . Oczywiście jest parę błędów ale zauważmy ze jest to beta i po oficjalnemu wydaniu wszystko będzie śmigać Cena: Zakupu dokonałem u operatora sieci T-mobile w cenie około 3300 zł . Wtedy wydawało mi się , że jest to trochę dużo jak na taki telefon i jestem nadal jestem tego zdania , natomiast cena około 2500 zł jest naprawdę ceną idealną za tak znakomity telefon. Tylko brać i cieszyć się . Polecam i nie żałuje zakupu .;4gb ram cena dobry aparat duży ekran mega ładny poręczny prestiżowy świetny interfejs ;głośniczek menu boczne na zakrzywionym ekranie ;1;0;2017-12-31 15:24:59;
6254104;olsson95;5/5;true;Największą zaletą sprzętu jest płynność, duża pamięć, ekran oraz bateria. Płynność, brak zawieszeń pozwala na przeglądanie internetu i oglądanie filmu. Duża pamięć wystarcza na zainstalowanie nam wystarczającej ilości aplikacji - gdzie po jej zapełnieniu telefon nadal płynnie chodzi. Ekran ma bardzo ładną barwę, oczywiście wszystko stworzone dla ludzi i można sobie dostosować kolory i barwę według upodobań. Aparat robi bardzo ładne i wyraźne zdjęcia! Bateria ładuje się szybko i trzyma długo. Bardzo dużą zaletą jest wygląd ! nowoczesny design, oraz ekran sprawia zachwyt u innych. Można być dumnym z posiadania takowego telefonu! Cena adekwatna do sprzętu!;4gb ram aparat przód aparat tył brak diody ir cena czas pracy na baterii dobry aparat duży ekran funkcjonalność głośniczek latwosc obslugi menu boczne na zakrzywionym ekranie poręczny skaner odcisków palca śliski tył obudowy świetny interfejs wygląd źle umiejscowiony skaner odcisków palców ;;1;0;2017-11-26 11:09:13;
6309895;Paul;2/5;false;Zacznę od najważniejszej wady. Galaxy S8 to ergonomiczna katastrofa. Ten telefon nie nadaje się do użytkowania jedną ręką. Samsung powinien odkładać pieniądze na fundusz rehabilitacji kciuka. Jeszcze w tym modelu jako tako da sie go obsługiwać, natomiast wersję Plus już totalnie nie da się obsługiwać. Telefon ślizga się w rękach jak człowiek chce sięgnąć kciukiem na dół + odblokować ekran. Wszystko w imię chudych ramek, dla gimbazy. Reszty nie komentuje bo aktualnie 95% telefonów na rynku jest genialnie wyposażona. PS Powiem jedno, nawet babka na stoisku Samsunga mi przyznała rację, gdy jej to pokazałem (Galaxy S8Plus), powiedziała "niech pan spróbuje z tym mniejszym" i było delikatnie lepiej. Uprzedzam, mam dłoń długości 20cm. Mam wrażenie, ze połowa tutaj komentarzy jest wystawiana przez pracowników Samsunga, którzy nie mają co robić w godzinach pracy..;;;0;1;2017-12-08 09:36:48;
